x,y,z,time
-0.0309906005859375,-0.07952880859375,-0.9991607666015625,1669505391964
-0.0279541015625,-0.081085205078125,-0.99530029296875,1669505392064
-0.02716064453125,-0.0786895751953125,-0.9752044677734375,1669505392163
-0.02532958984375,-0.0774383544921875,-0.99755859375,1669505392267
-0.0281982421875,-0.0812530517578125,-0.9967803955078125,1669505392367
-0.01519775390625,-0.0776519775390625,-1.0010833740234375,1669505392466
-0.02197265625,-0.0813446044921875,-0.9954071044921875,1669505392565
-0.020233154296875,-0.068115234375,-0.9990997314453125,1669505392669
-0.012359619140625,-0.0715484619140625,-1.0005950927734375,1669505392769
-0.0176544189453125,-0.07757568359375,-0.9962921142578125,1669505392868
-0.0190582275390625,-0.0744171142578125,-1.0001220703125,1669505392968
-0.0142669677734375,-0.072265625,-1.0007476806640625,1669505393072
-0.0147552490234375,-0.07318115234375,-0.9978790283203125,1669505393171
-0.015655517578125,-0.0721588134765625,-0.998077392578125,1669505393270
-0.016876220703125,-0.092010498046875,-1.0068511962890625,1669505393370
-0.021392822265625,-0.0747833251953125,-0.9997406005859375,1669505393473
-0.0223236083984375,-0.0770416259765625,-0.9994354248046875,1669505393573
-0.0059814453125,-0.0615692138671875,-1.02069091796875,1669505393672
-0.01416015625,-0.0691680908203125,-1.0057373046875,1669505393771
-0.0225982666015625,-0.080413818359375,-0.990020751953125,1669505393875
-0.02386474609375,-0.0786590576171875,-0.9920806884765625,1669505393975
-0.01654052734375,-0.0720977783203125,-0.9986114501953125,1669505394074
-0.01800537109375,-0.073577880859375,-0.99407958984375,1669505394175
-0.0149688720703125,-0.067138671875,-1.0011749267578125,1669505394278
-0.010894775390625,-0.06207275390625,-1.0094757080078125,1669505394377
-0.013092041015625,-0.066680908203125,-1.0161895751953125,1669505394477
-0.0249786376953125,-0.0783843994140625,-0.9983978271484375,1669505394576
-0.027191162109375,-0.0836181640625,-0.98980712890625,1669505394681
-0.0267791748046875,-0.0828857421875,-0.991607666015625,1669505394779
-0.0253143310546875,-0.0799407958984375,-0.9961090087890625,1669505394878
-0.0229949951171875,-0.077880859375,-0.99920654296875,1669505394978
-0.0217437744140625,-0.07763671875,-1.0007781982421875,1669505395082
-0.0247039794921875,-0.0782623291015625,-1.000518798828125,1669505395181
-0.03875732421875,-0.1204681396484375,-1.0978851318359375,1669505395281
-0.037750244140625,-0.0962371826171875,-0.98193359375,1669505395382
-0.0322723388671875,-0.0887451171875,-0.9841156005859375,1669505395485
-0.025482177734375,-0.0800323486328125,-0.994964599609375,1669505395584
-0.0210418701171875,-0.0763092041015625,-1.0034637451171875,1669505395683
-0.02093505859375,-0.0757598876953125,-1.004974365234375,1669505395783
-0.009490966796875,-0.091552734375,-1.03973388671875,1669505395886
-0.0271453857421875,-0.0792083740234375,-0.981964111328125,1669505395986
-0.02423095703125,-0.0760955810546875,-1.003082275390625,1669505396085
-0.022003173828125,-0.0758819580078125,-1.004638671875,1669505396185
-0.018829345703125,-0.0760955810546875,-1.0035247802734375,1669505396289
-0.0267333984375,-0.07904052734375,-0.9995269775390625,1669505396388
-0.040283203125,-0.0760955810546875,-1.026824951171875,1669505396487
-0.04559326171875,-0.10968017578125,-0.9543609619140625,1669505396587
-0.0373687744140625,-0.08880615234375,-0.9793243408203125,1669505396691
-0.084716796875,-0.0736083984375,-0.9308319091796875,1669505396790
-0.0179595947265625,-0.0868072509765625,-1.0045166015625,1669505396890
-0.029815673828125,-0.0772857666015625,-1.0006256103515625,1669505397004
-0.0237579345703125,-0.075164794921875,-1.0041656494140625,1669505397093
-0.0119781494140625,-0.0777435302734375,-1.0028839111328125,1669505397192
-0.029327392578125,-0.0774993896484375,-0.99993896484375,1669505397292
-0.02105712890625,-0.066253662109375,-1.0027008056640625,1669505397391
-0.0136566162109375,-0.0776214599609375,-0.994354248046875,1669505397495
-0.0297393798828125,-0.0787200927734375,-0.997894287109375,1669505397594
-0.0246124267578125,-0.078338623046875,-0.9972076416015625,1669505397694
-0.017822265625,-0.0798492431640625,-0.997650146484375,1669505397793
-0.0365142822265625,-0.120574951171875,-1.041473388671875,1669505397898
-0.0340728759765625,-0.0941925048828125,-0.971832275390625,1669505397996
-0.0316314697265625,-0.09271240234375,-0.9768829345703125,1669505398096
-0.031402587890625,-0.0804290771484375,-0.99371337890625,1669505398195
-0.0175933837890625,-0.0748291015625,-1.0068511962890625,1669505398300
-0.0188140869140625,-0.0750732421875,-1.0059356689453125,1669505398399
-0.0033416748046875,-0.0762481689453125,-1.01519775390625,1669505398498
-0.025970458984375,-0.0696258544921875,-0.9775848388671875,1669505398597
-0.015594482421875,-0.0760650634765625,-1.0125732421875,1669505398701
