accx,accy,accz,UpdatedTime,gyrx,gyry,gyrz,Label
-0.35711669921875,-0.444671630859375,-0.97906494140625,16698156347,-2.061976194381714,0.1906242817640304,0.217336043715477,upstairs
-0.2416839599609375,-0.48895263671875,-0.75323486328125,16698156348,0.789919912815094,0.1786999702453613,1.223066806793213,upstairs
-0.020355224609375,-0.2993316650390625,-1.15008544921875,16698156349,0.1294698417186737,-0.3483579754829407,0.3573767840862274,upstairs
-0.2331390380859375,-0.391693115234375,-0.825714111328125,16698156350,0.7373992204666138,-0.6850364208221436,1.108197569847107,upstairs
-0.313568115234375,-0.413543701171875,-0.7279815673828125,16698156351,0.4457708299160003,-2.178672313690185,1.9219034910202024,upstairs
-0.720794677734375,-0.3147125244140625,-1.23883056640625,16698156352,1.339316964149475,-0.8085695505142212,0.7103625535964966,upstairs
-0.6037445068359375,-0.2620849609375,-0.656890869140625,16698156353,0.4887816607952118,1.157069444656372,0.274883508682251,upstairs
-0.1743011474609375,-0.21685791015625,-0.4139556884765625,16698156354,0.4941210448741913,-1.2917522192001345,1.1838546991348269,upstairs
-0.683685302734375,-0.0516357421875,-0.497650146484375,16698156355,0.9830779433250428,-3.3763628005981445,1.2500683069229126,upstairs
-1.4510650634765625,0.10614013671875,-0.4057769775390625,16698156356,-1.3680975437164309,-0.8467144966125488,0.9302533268928528,upstairs
-1.3808746337890625,0.1346435546875,-0.3420867919921875,16698156357,0.1780046224594116,-2.568479061126709,1.1681519746780396,upstairs
-1.2438201904296875,0.1815032958984375,-0.0338897705078125,16698156358,-0.6450858116149902,-1.1528300046920776,0.6701948642730713,upstairs
-0.7716217041015625,0.06353759765625,0.04296875,16698156359,-1.1024874448776243,0.0077029271051287,0.1645380854606628,upstairs
-0.67730712890625,-0.0498046875,0.123443603515625,16698156360,-0.624643087387085,-0.2653304636478424,0.2295612841844558,upstairs
-1.0890350341796875,-0.1678619384765625,0.20135498046875,16698156361,-0.1938341856002807,-0.1953133046627044,-0.1265411674976349,upstairs
-1.3411865234375,-0.2208709716796875,0.091827392578125,16698156362,-0.0419029742479324,0.2162356227636337,-0.9704740047454834,upstairs
-1.453094482421875,-0.24755859375,-0.01739501953125,16698156363,1.0354052782058716,0.4050465524196625,-2.3561954498291016,upstairs
-1.0418243408203125,-0.080108642578125,0.0023040771484375,16698156364,1.040742039680481,0.6199114322662354,-2.514503240585327,upstairs
